ind,pop,quadrat,plant,lon,lat,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9
QBED2-1-14,QBED2,1,14,43.4346,-77.1198,184:184,106:106,213:236,200:200,233:237,201:201,140:144,135:135,186:188
QBED2-1-17,QBED2,1,17,43.4346,-77.1198,196:214,106:106,217:234,196:200,223:247,201:201,144:146,132:135,184:190
QBED2-1-18,QBED2,1,18,44.8893,-75.744,198:198,96:106,232:232,196:202,237:237,201:201,144:144,132:135,190:190
QBED2-1-19,QBED2,1,19,44.8893,-75.744,198:198,106:106,232:232,208:208,237:237,199:199,144:144,132:135,184:184
QBED2-1-21,QBED2,1,21,43.6736,-77.377,198:198,96:106,230:241,192:192,215:235,236:238,140:140,132:138,186:190
QBED2-1-22,QBED2,1,22,43.6736,-77.377,184:198,96:106,217:238,208:210,215:245,199:199,140:140,132:135,190:190
QBED2-1-23,QBED2,1,23,44.5277,-74.5539,198:198,106:128,234:240,208:210,233:237,236:238,142:144,122:132,194:196
QBED2-1-24,QBED2,1,24,44.5277,-74.5539,198:202,106:112,230:230,192:192,229:229,201:201,144:144,132:132,190:194
QBED2-1-26,QBED2,1,26,43.9653,-76.4458,198:198,96:96,213:213,206:206,237:237,201:201,150:150,135:135,188:188
QBED2-1-58,QBED2,1,58,43.9653,-76.4458,200:200,106:112,213:234,196:200,245:247,236:238,142:144,122:132,190:198
QBED2-1-59,QBED2,1,59,44.9915,-76.3432,184:198,106:106,213:213,200:200,237:237,201:201,140:146,122:135,188:188
QBED2-1-N13,QBED2,1,N13,44.9915,-76.3432,198:198,96:106,234:238,200:208,229:251,201:201,144:146,122:135,196:196
QBED2-1-N14,QBED2,1,N14,45.0568,-75.9359,198:198,106:106,213:213,198:198,235:235,201:201,146:146,122:135,178:190
QBED2-1-N16,QBED2,1,N16,45.0568,-75.9359,196:198,106:112,234:236,198:198,227:227,205:205,140:146,132:132,182:182
QBED2-1-N17,QBED2,1,N17,45.9911,-75.7825,198:198,106:106,232:232,208:208,217:217,199:199,144:144,120:132,194:198
QBED2-1-N20,QBED2,1,N20,45.9911,-75.7825,198:198,106:112,234:234,192:196,215:237,201:201,144:146,132:132,196:196
QBED2-1-N25,QBED2,1,N25,43.5197,-77.4893,198:202,112:112,217:251,210:214,229:233,201:201,144:144,132:135,190:194
QBED2-1-N26,QBED2,1,N26,43.5197,-77.4893,198:198,96:96,213:213,206:208,233:233,201:201,146:150,135:135,188:188
QBED2-2-1,QBED2,2,1,45.5387,-74.6799,198:198,96:96,234:249,208:210,229:233,193:207,142:144,122:128,NA
QBED2-2-2,QBED2,2,2,45.5387,-74.6799,198:198,96:106,234:251,206:206,217:235,201:201,140:144,132:135,180:192
QBED2-2-28,QBED2,2,28,43.2594,-75.5655,198:198,112:112,234:234,206:208,233:233,199:199,142:144,122:132,194:194
QBED2-2-29,QBED2,2,29,43.2594,-75.5655,198:198,112:128,228:228,198:208,227:239,201:201,144:146,122:132,190:190
QBED2-2-3,QBED2,2,3,43.9473,-76.5478,188:198,96:106,238:238,196:206,217:237,201:201,140:150,132:135,190:202
QBED2-2-31,QBED2,2,31,43.9473,-76.5478,198:212,106:106,234:236,196:206,223:223,199:201,146:146,132:132,196:196
QBED2-2-32,QBED2,2,32,45.355,-77.1361,198:198,96:96,209:209,202:212,227:235,201:205,144:144,132:135,196:196
QBED2-2-33,QBED2,2,33,45.355,-77.1361,198:198,117:117,209:209,202:202,227:227,201:201,144:144,135:135,196:196
QBED2-2-34,QBED2,2,34,43.9289,-77.3312,198:198,96:106,209:209,196:204,215:233,201:201,144:144,124:132,190:196
QBED2-2-35,QBED2,2,35,43.9289,-77.3312,198:210,106:112,209:211,208:210,217:233,199:199,146:146,132:132,196:196
QBED2-2-36,QBED2,2,36,46.8535,-76.3737,198:212,106:128,232:243,196:208,209:237,193:193,142:146,132:132,184:184
QBED2-2-37,QBED2,2,37,46.8535,-76.3737,188:198,96:112,234:234,204:206,221:243,201:201,144:146,122:132,194:202
QBED2-2-39,QBED2,2,39,45.2326,-76.7933,198:198,96:106,236:241,196:208,219:221,236:238,140:142,135:135,180:202
QBED2-2-4,QBED2,2,4,45.2326,-76.7933,198:198,96:101,228:232,206:208,227:229,201:201,142:144,132:135,190:200
QBED2-2-40,QBED2,2,40,42.8286,-78.5552,208:210,96:112,238:249,206:208,247:247,201:201,144:144,132:135,202:202
QBED2-2-56,QBED2,2,56,42.8286,-78.5552,188:190,96:106,209:217,204:206,229:231,199:201,144:146,128:132,184:190
QBED2-2-57,QBED2,2,57,43.6973,-77.8246,198:198,96:106,213:213,196:206,215:215,201:201,144:146,122:122,186:186
QBED2-2-60,QBED2,2,60,43.6973,-77.8246,188:200,96:112,209:236,206:208,217:217,201:201,140:144,132:132,190:202
QBED2-2-7,QBED2,2,7,43.436,-78.7755,198:198,101:101,251:251,208:208,231:231,199:199,144:144,132:132,190:190
QBED2-2-N36,QBED2,2,N36,43.436,-78.7755,198:212,106:106,217:232,196:208,209:227,201:201,144:146,132:132,184:184
QLL1-1-10,QLL1,1,10,43.3247,-74.6605,198:198,112:128,234:234,206:208,227:227,201:201,144:144,124:132,194:200
QLL1-1-11,QLL1,1,11,43.3247,-74.6605,188:198,96:106,232:232,206:206,229:247,199:201,144:144,132:135,178:194
QLL1-1-12,QLL1,1,12,44.4214,-76.9575,198:216,96:112,232:238,208:210,247:249,201:201,144:146,132:132,200:200
QLL1-1-13,QLL1,1,13,44.4214,-76.9575,198:204,96:96,228:251,196:206,229:233,201:201,144:146,132:132,200:200
QLL1-1-14,QLL1,1,14,42.3142,-75.0789,198:198,96:96,234:236,208:208,229:229,199:201,144:146,132:132,196:196
